Policy,Env,Seed,Final Reward
TD3,InvertedPendulum-v5,0,1000.000
TD3,Walker2d-v5,0,3906.815
DDPG,InvertedPendulum-v5,0,1000.000
DDPG,Walker2d-v5,0,884.698
TD3,Ant-v5,0,1023.434
DDPG,Ant-v5,0,978.758
TD3,InvertedPendulum-v5,1,1000.000
TD3,Walker2d-v5,1,4241.917
DDPG,InvertedPendulum-v5,1,1000.000
DDPG,Walker2d-v5,1,2617.191
TD3,Ant-v5,1,4829.558
DDPG,Ant-v5,1,1520.330
TD3,InvertedPendulum-v5,2,1000.000
TD3,Walker2d-v5,2,4153.835
DDPG,InvertedPendulum-v5,2,1000.000
DDPG,Walker2d-v5,2,3193.519
TD3,Ant-v5,2,5664.327
TD3,InvertedPendulum-v5,3,1000.000
TD3,Walker2d-v5,3,4253.420
DDPG,InvertedPendulum-v5,3,1000.000
DDPG,Ant-v5,2,1777.302
DDPG,Walker2d-v5,3,1602.688
TD3,InvertedPendulum-v5,4,1000.000
TD3,Ant-v5,3,4097.246
TD3,Walker2d-v5,4,4713.410
DDPG,InvertedPendulum-v5,4,1000.000
DDPG,Walker2d-v5,4,1644.188
DDPG,Ant-v5,3,1542.596
TD3,Ant-v5,4,4105.504
DDPG,Ant-v5,4,723.325
TD3,Reacher-v5,0,-0.614
DDPG,Reacher-v5,0,-1.916
TD3,HalfCheetah-v5,0,10781.167
TD3,InvertedDoublePendulum-v5,0,1201.606
TD3,Hopper-v5,0,3550.788
DDPG,Hopper-v5,0,1178.568
DDPG,InvertedDoublePendulum-v5,0,9277.444
DDPG,HalfCheetah-v5,0,10825.550
TD3,Humanoid-v5,0,612.813
TD3,Reacher-v5,1,-3.841
DDPG,Reacher-v5,1,-4.549
TD3,HalfCheetah-v5,1,11269.520
TD3,InvertedDoublePendulum-v5,1,9316.368
TD3,Hopper-v5,1,3058.416
DDPG,HalfCheetah-v5,1,8329.618
DDPG,Hopper-v5,1,1344.813
DDPG,InvertedDoublePendulum-v5,1,9237.398
DDPG,Humanoid-v5,0,66.377
TD3,Reacher-v5,2,-2.872
DDPG,Reacher-v5,2,-6.976
TD3,HalfCheetah-v5,2,10912.522
TD3,InvertedDoublePendulum-v5,2,9319.374
TD3,Humanoid-v5,1,5273.146
TD3,Hopper-v5,2,3260.026
DDPG,HalfCheetah-v5,2,8093.325
DDPG,Hopper-v5,2,2637.483
DDPG,InvertedDoublePendulum-v5,2,9298.817
TD3,Reacher-v5,3,-4.599
DDPG,Reacher-v5,3,-11.681
TD3,HalfCheetah-v5,3,11207.526
TD3,InvertedDoublePendulum-v5,3,9320.410
TD3,Hopper-v5,3,3454.352
DDPG,HalfCheetah-v5,3,10064.094
DDPG,InvertedDoublePendulum-v5,3,9349.449
DDPG,Hopper-v5,3,1798.047
TD3,Reacher-v5,4,-3.739
TD3,Humanoid-v5,2,5048.159
DDPG,Reacher-v5,4,-4.440
DDPG,Humanoid-v5,1,211.143
TD3,HalfCheetah-v5,4,11117.041
TD3,InvertedDoublePendulum-v5,4,9319.483
TD3,Hopper-v5,4,3197.161
DDPG,HalfCheetah-v5,4,9057.032
DDPG,InvertedDoublePendulum-v5,4,9214.933
DDPG,Hopper-v5,4,3554.946
